shoots	hoots,soots,shots,shots,shoos,shoot
firs	irs,frs,fis,fir
flob	lob,fob,flb,flo
flog	log,fog,flg,flo
flub	lub,fub,flb,flu
flus	lus,fus,fls,flu
fold	old,fld,fod,fol
foot	oot,fot,fot,foo
fops	ops,fps,fos,fop
fort	ort,frt,fot,for
foud	oud,fud,fod,fou
four	our,fur,for,fou
fray	ray,fay,fry,fra
frat	rat,fat,frt,fra
fris	ris,fis,frs,fri
frit	rit,fit,frt,fri
frot	rot,fot,frt,fro
full	ull,fll,ful,ful
furs	urs,frs,fus,fur
gads	ads,gds,gas,gad
gaes	aes,ges,gas,gae
gaet	aet,get,gat,gae
gale	ale,gle,gae,gal
galt	alt,glt,gat,gal
gaps	aps,gps,gas,gap
gare	are,gre,gae,gar
gary	ary,gry,gay,gar
gars	ars,grs,gas,gar
gast	ast,gst,gat,gas
gate	ate,gte,gae,gat
gaud	aud,gud,gad,gau
gaul	aul,gul,gal,gau
gaum	aum,gum,gam,gau
gaur	aur,gur,gar,gau
gaus	aus,gus,gas,gau
geds	eds,gds,ges,ged
geer	eer,ger,ger,gee
gein	ein,gin,gen,gei
geir	eir,gir,ger,gei
geld	eld,gld,ged,gel
gelt	elt,glt,get,gel
gens	ens,gns,ges,gen
geom	eom,gom,gem,geo
geon	eon,gon,gen,geo
gere	ere,gre,gee,ger
gers	ers,grs,ges,ger
gest	est,gst,get,ges
gids	ids,gds,gis,gid
gila	ila,gla,gia,gil
gild	ild,gld,gid,gil
gile	ile,gle,gie,gil
gilo	ilo,glo,gio,gil
gilt	ilt,glt,git,gil
gins	ins,gns,gis,gin
gips	ips,gps,gis,gip
gire	ire,gre,gie,gir
girr	irr,grr,gir,gir
gist	ist,gst,git,gis
gyte	yte,gte,gye,gyt
glad	lad,gad,gld,gla
gled	led,ged,gld,gle
glee	lee,gee,gle,gle
glia	lia,gia,gla,gli
glib	lib,gib,glb,gli
glob	lob,gob,glb,glo
glod	lod,god,gld,glo
